"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11023A133",-1.21811272554294,17689,10
"11023A191",-0.712612257870266,15229,9
"11023A200",-1.29075275348365,17849,10
"11023A212",-1.59078029246355,18191,10
"11023A280",-1.42042919442897,18053,10
"11023A291",-1.22534566050942,17710,10
"11023B30-",-0.588446691009575,14188,8
"11023B31-",-1.02362168256022,17059,10
"11023B32-",-1.22698679105704,17714,10
"11023B330",-0.607509937728338,14355,8
"11023B391",-0.799831035222249,15881,9
"11023B40-",-0.796362189909876,15850,9
"11023B49-",-1.02437678532555,17062,10
"11024A00-",-0.064076005024687,8811,5
"11024A01-",-0.880756616274928,16374,9
"11024A02-",-0.730520016440288,15372,9
"11024A03-",-0.243193434042925,10746,6
"11024A04-",-0.651053758395074,14733,9
"11024A05-",-0.987983530323398,16892,10
"11024A072",-0.720491858118832,15279,9
"11024A09-",-1.91604038590786,18268,10
"11024A10-",-0.364168475323382,12016,7
"11024A111",-0.436169663527028,12711,7
"11024A132",-0.616450213075445,14428,8
"11024A191",-0.597657466042946,14265,8
"11024A1MA",-1.31005201058137,17888,10
"11024A1PA",-1.22679228971665,17713,10
"11024A200",-0.948149848735432,16713,10
"11024A210",-0.962270487397935,16788,10
"11024A220",-1.03808031915936,17123,10
"11024A280",-1.66540917501595,18224,10
"11024A291",-0.923110196805688,16595,10
"11024A30-",-0.705383277922551,15169,9
"11024A412",-1.49856896861214,18123,10
"11024A423",-1.37398609774085,17994,10
"11024A434",-1.42529704620685,18060,10
"11024B00-",-0.432914130981444,12675,7
"11024B012",-0.589937076262107,14202,8
"11024B08-",-0.144074065044358,9685,6
"11024B091",-0.892337444930995,16450,9
"11024B190",-0.520531310268694,13557,8
"11025A000",-0.306925012440716,11391,7
"11025A01-",-0.469259657424593,13058,8
"11025A02-",-0.792452030015228,15811,9
"11025A042",-1.37732777186343,18002,10
"11025A053",-1.38114368983438,18010,10
"11025A08-",-1.32131873542073,17905,10
"11025A091",-0.489165388711744,13271,8
"11025A184",-1.18639665443767,17617,10
"11025A19-",-0.194936931751686,10209,6
"11029A00-",-0.204958956979406,10321,6
"11029A01-",-0.508297196410045,13436,8
"11029A02-",-0.492564582873016,13303,8
"11029A041",-0.60742945462211,14352,8
"11029A07-",-0.118141595159593,9421,6
"11029A10-",-0.558780782385009,13907,8
"11029A11-",-0.590786092171397,14210,8
"11029A12-",-0.818342943583906,16019,9
"11029A13-",-0.866945277885521,16306,9
"11029A14-",-0.176880872313276,10018,6
"11029A172",-0.13239083062389,9565,6
"11029A18-",-0.757303650763121,15576,9
"11029A191",3.21122300081395,38,1
"11029A201",-0.150975593179201,9743,6
"11029A211",-0.961289488608821,16778,10
"11029A22-",-0.409784638326909,12455,7
"11029A232",-0.478473947744329,13161,8
"11029A242",-0.810208071063311,15954,9
"11029A301",-0.996636078576046,16927,10
"11030A00-",0.272139461077541,5730,4
"11030A01-",0.465892885036352,4282,3
"11030A02-",0.0568539168040407,7625,5
"11030A03-",-0.0953312331038775,9172,6
"11030A091",0.53511637469702,3860,3
"11030A10-",0.386261104485273,4830,3
"11030A17-",-1.15653754768554,17534,10
"11035A000",-0.227416280780988,10561,6
"11035A01-",-0.926596039100761,16612,10
"11035A022",-0.886527584086341,16411,9
"11035A08-",-1.17311081464435,17578,10
"11035A091",-0.75238538425807,15538,9
"11035A10-",-0.719083892448611,15270,9
"11035A20-",-0.922622933968007,16594,10
"11035A29-",-0.886049459058886,16406,9
"11035A30-",-0.216055716817668,10439,6
"11035A39-",-0.60696618595933,14348,8
"11035B00-",-0.223323219826684,10518,6
"11035B010",-0.160784184406718,9851,6
"11035B02-",-1.04598132277927,17143,10
"11035B032",-0.934999798039597,16648,10
"11035B043",-0.946563968462074,16707,10
